"Estacion","Fecha inicial","Fecha final","NO2"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-23","","22.83713043"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-22","","26.977375"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-21","","28.55204545"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-20","","22.56991667"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-19","","23.01458333"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-18","","23.71620833"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-17","","20.63675"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-16","","19.92313043"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-15","","21.473375"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-14","","27.51234783"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-13","","23.925375"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-12","","24.072125"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-11","","24.19633333"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-10","","26.23720833"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-09","","17.561"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-08","","25.87933333"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-07","","20.43204348"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-06","","23.83366667"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-05","","21.56191667"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-04","","20.26370833"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-03","","17.89145833"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-02","","17.11745455"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-07-01","","22.27066667"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-30","","22.493375"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-29","","19.97340741"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-28","","23.34229167"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-27","","18.38995833"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-26","","21.51083333"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-25","","18.10269565"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-24","","18.98941667"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-23","","22.71465"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-22","","25.30264706"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-21","","25.56729167"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-20","","23.75954167"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-19","","17.43395833"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-18","","18.95586957"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-17","","22.89933333"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-16","","26.22916667"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-15","","22.77545833"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-14","","27.397125"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-13","","23.32341667"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-12","","18.03816667"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-11","","18.62521739"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-10","","20.90133333"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-09","","20.276375"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-08","","26.39356522"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-07","","23.724875"
"CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA","2023-06-06","","22.39395833"
