Estacion,Fecha inicial,Año,Mes,Día,NO,VViento,O3,DViento,PLiquida,HAire10,CO,NO2,P,PM2.5,SO2,PM10,TAire10,RGlobal
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-09-07,2023,9,7,9.149,1.94604167,34.925,173.0262083,0.00833333,71.66929167,1491.183875,25.8775,676.741625,11.45833333,0.6375,24.28333333,25.16029167,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-09-06,2023,9,6,14.331375,2.15770833,40.72083333,184.3991667,0,68.76808333,1578.718958,27.517875,677.1900833,11.42916667,1.3,26.8125,26.11675,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-09-05,2023,9,5,11.94695833,2.149625,34.63333333,232.8654167,0,71.73291667,1512.275125,25.56058333,677.6737083,9.00416667,0.9,21.90416667,25.11575,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-09-04,2023,9,4,12.61375,1.88358333,33.03333333,158.4542917,0.00833333,74.50841667,1591.454875,27.60233333,677.870625,8.72083333,1.4625,21.26666667,24.02341667,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-09-03,2023,9,3,7.2613913,1.93391304,34.68695652,198.0154348,0.0173913,73.61126087,1308.924783,21.71530435,677.5222174,9.5826087,0.5826087,18.38695652,23.95721739,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-09-02,2023,9,2,7.13641667,2.18454167,38.03333333,177.194375,0.025,71.793625,1437.978125,26.22920833,677.075625,13.79583333,1.09583333,25.6625,24.95983333,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-09-01,2023,9,1,12.09404167,1.89591667,39.07916667,236.3172917,0,65.118,1506.664292,27.49979167,677.2125417,11.8125,1.10416667,26.85833333,26.21245833,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-08-31,2023,8,31,11.91752174,2.06204167,35.34583333,169.8997917,0.025,65.43091667,1332.5075,29.40113043,676.9085,11.3875,0.95714286,24.5,26.17554167,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-08-30,2023,8,30,6.936,2.08366667,36.47916667,121.6930417,0,66.52441667,1318.847333,25.71479167,677.224375,10.45833333,1.3,23.02083333,25.74958333,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-08-29,2023,8,29,12.043875,2.11375,41.525,169.0529167,0.00833333,68.18166667,1458.260792,27.86966667,678.3825833,12.1875,1.2875,24.925,25.26,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-08-28,2023,8,28,10.70691667,2.134375,35.83333333,167.4925417,0.075,67.59683333,1401.908875,26.197,677.87925,11.43333333,0.98333333,25.375,25.010875,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-08-27,2023,8,27,4.84495652,2.58730435,40.53478261,191.6042174,0,63.52652174,1180.662435,21.2373913,676.9923478,10.27826087,1.24347826,20.59565217,25.55243478,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-08-26,2023,8,26,8.84295833,2.01979167,30.325,184.438875,0,68.13504167,1263.683375,21.57945833,677.1197083,9.7125,0.92916667,21.58333333,24.99104167,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-08-25,2023,8,25,11.116625,1.93879167,24.15833333,153.2652917,0.01666667,76.64341667,1368.3675,22.93866667,677.9469583,9.39583333,0.95416667,22.8375,24.43375,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-08-24,2023,8,24,12.22704167,1.770875,29.39583333,196.5034583,0.01666667,77.85183333,1323.038667,20.77629167,677.901,7.45833333,1.22916667,19.5625,24.09191667,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-08-23,2023,8,23,13.88558333,1.82908333,24.47916667,150.8928333,0.075,77.09295833,1322.376208,23.877375,676.9840833,5.55,0.70416667,17.43333333,23.44583333,
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-08-22,2023,8,22,6.84916667,1.67075,31.5375,183.786625,1.45829167,85.31833333,1283.662333,24.41858333,676.1869583,4.925,0.52083333,15.63333333,22.629875,
