Estacion,Fecha inicial,Año,Mes,Día,P,VViento,O3,DViento,PLiquida,PM2.5,PM10,RGlobal,SO2 TR,HAire10,TAire10
COLEGIO GAITÁN,2023-08-29,2023,8,29,685.192625,1.381125,44.6125,264.21775,0,13.575,25.2625,,2.69166667,76.342625,25.23108333
COLEGIO GAITÁN,2023-08-28,2023,8,28,684.647125,1.61020833,37.05,231.4692083,0,12.77916667,24.46666667,,2.74583333,70.19245833,25.51366667
COLEGIO GAITÁN,2023-08-27,2023,8,27,683.765,1.92173913,37.81304348,229.4451739,0,9.85652174,17.29130435,,1.93913043,68.41852174,25.66173913
COLEGIO GAITÁN,2023-08-26,2023,8,26,683.8806667,1.62858333,27.47083333,203.9274167,0,10.05833333,18.24583333,,2.25833333,73.235,25.255625
COLEGIO GAITÁN,2023-08-25,2023,8,25,684.7569167,1.322625,22.24166667,232.1106667,0.13333333,10.94166667,23.25,,2.36666667,82.80929167,24.03895833
COLEGIO GAITÁN,2023-08-24,2023,8,24,684.7330417,1.42895833,22.50416667,244.977375,0.00833333,8.32083333,16.13333333,,1.77916667,83.98383333,24.15566667
COLEGIO GAITÁN,2023-08-23,2023,8,23,683.7978333,1.4095,26.82083333,233.463625,0.06666667,5.15416667,12.04583333,,2.63333333,82.23770833,23.66525
COLEGIO GAITÁN,2023-08-22,2023,8,22,682.9775417,1.60808333,25.55416667,212.5521667,2.08333333,4.35416667,11.5,,3.20952381,90.74445833,22.16791667
COLEGIO GAITÁN,2023-08-21,2023,8,21,682.1696667,1.89541667,27.32083333,230.5457083,0.31666667,5.975,12.48333333,,1.925,81.72129167,24.55166667
COLEGIO GAITÁN,2023-08-20,2023,8,20,682.3786957,1.49469565,28.89130435,198.1737826,0.03478261,8.65217391,15.09565217,,1.0826087,84.94295652,24.17369565
COLEGIO GAITÁN,2023-08-19,2023,8,19,682.5812083,1.80225,29.96666667,228.441875,0,12.73333333,21.70833333,,3.6375,78.301,25.03604167
COLEGIO GAITÁN,2023-08-18,2023,8,18,683.5484167,1.52591667,24.0125,251.7685,0,5.99166667,13.40833333,,3.29583333,79.648625,24.42925
COLEGIO GAITÁN,2023-08-17,2023,8,17,683.9380417,1.561375,25.90416667,237.8767083,0,9.4375,20.68333333,,3.23333333,79.88416667,24.97745833
COLEGIO GAITÁN,2023-08-16,2023,8,16,684.4078571,1.18442857,18.50714286,250.1585,0.01428571,12.6,24.73571429,,3.22142857,85.92914286,23.32214286
COLEGIO GAITÁN,2023-08-15,2023,8,15,683.8522083,1.44483333,21.875,209.0302917,0.00833333,15.0125,27.28333333,,2.64166667,81.24183333,23.76166667
